epoch,loss,pixel_acc,precision,recall,val_loss,val_pixel_acc,val_precision,val_recall
0,0.7151601314544678,0.8375365734100342,0.6484272480010986,0.8049537539482117,216.88002014160156,0.4180862009525299,0.29243361949920654,0.9983939528465271
1,0.22943679988384247,0.961177408695221,0.933469295501709,0.9126237630844116,182.78334045410156,0.45500272512435913,0.302849143743515,0.9707924127578735
2,0.17264500260353088,0.9698688387870789,0.9487641453742981,0.9302497506141663,128.97349548339844,0.2793983519077301,0.2504121661186218,1.0
3,0.14728887379169464,0.9732632637023926,0.9552282691001892,0.9373713135719299,30.22064971923828,0.3577501177787781,0.27246972918510437,0.9986866116523743
4,0.1209535226225853,0.9778979420661926,0.9610117077827454,0.9486767053604126,34.210601806640625,0.482378214597702,0.31739604473114014,0.9996432662010193
5,0.1285955011844635,0.9761781096458435,0.9575313925743103,0.9466463923454285,34.56111526489258,0.5770439505577087,0.3627152740955353,0.999997079372406
6,0.10920467972755432,0.979286253452301,0.9643349647521973,0.952753484249115,10.489096641540527,0.827173113822937,0.5822071433067322,0.998831033706665
7,0.10271243005990982,0.980696439743042,0.9653341770172119,0.9580661058425903,3.599670171737671,0.9048910737037659,0.7176826596260071,0.9971749186515808
8,0.09836959093809128,0.9813920855522156,0.9696059226989746,0.9561203122138977,1.4343706369400024,0.9246159195899963,0.7641690373420715,0.9934358596801758
9,0.09527301788330078,0.9817487001419067,0.9689440727233887,0.959254801273346,0.7465193271636963,0.929193913936615,0.7737438082695007,0.9975765943527222
10,0.09543101489543915,0.9819244742393494,0.968227207660675,0.9601695537567139,0.5115699172019958,0.9626486301422119,0.8680044412612915,0.9963538646697998
11,0.08978374302387238,0.9825884103775024,0.9700445532798767,0.9613234400749207,0.08099556714296341,0.9862537980079651,0.950568675994873,0.994619607925415
12,0.07925405353307724,0.9845622181892395,0.9741621017456055,0.9650676250457764,0.16857583820819855,0.9740215539932251,0.9058126211166382,0.9956086874008179
13,0.07621530443429947,0.9850616455078125,0.9737386107444763,0.967470645904541,0.13924343883991241,0.9811965823173523,0.9336770176887512,0.9923826456069946
14,0.08166278153657913,0.9844018816947937,0.9742176532745361,0.9639356136322021,0.0671185776591301,0.9880630373954773,0.9576776623725891,0.9943564534187317
15,0.07840722799301147,0.9847411513328552,0.973251461982727,0.9664112329483032,0.0434735044836998,0.9914396405220032,0.9786094427108765,0.9859917163848877
16,0.07811122387647629,0.9849103689193726,0.9738134145736694,0.9663600325584412,0.04060940071940422,0.9920313358306885,0.9751077890396118,0.9922271370887756
17,0.06923031061887741,0.9864940047264099,0.977072536945343,0.9692041277885437,0.042036060243844986,0.9920249581336975,0.9924271702766418,0.9743059277534485
18,0.061625272035598755,0.9880456924438477,0.9782474637031555,0.9728795289993286,0.03416824713349342,0.9934064149856567,0.9844312071800232,0.9882389903068542
19,0.05789945647120476,0.9886093735694885,0.9799818992614746,0.9742920994758606,0.03580714762210846,0.9929527640342712,0.9795222878456116,0.9914525151252747
20,0.061494130641222,0.9880866408348083,0.9793949127197266,0.9730622172355652,0.03687537834048271,0.992913007736206,0.9883971214294434,0.982089102268219
21,0.06233901157975197,0.9877418279647827,0.9788789749145508,0.9723135828971863,0.043555278331041336,0.9928610324859619,0.9835967421531677,0.986801028251648
22,0.06806464493274689,0.9866155982017517,0.976820707321167,0.9710251092910767,0.041245393455028534,0.9921262860298157,0.992445170879364,0.9747120141983032
23,0.05659322068095207,0.9888116717338562,0.9814143776893616,0.9742094874382019,0.03636537864804268,0.9928379654884338,0.981138288974762,0.9892664551734924
24,0.05893291160464287,0.9884864091873169,0.9796682596206665,0.974737286567688,0.03302022069692612,0.9936385154724121,0.9902209639549255,0.983284592628479
25,0.05634487047791481,0.9890672564506531,0.9802867770195007,0.9757299423217773,0.037538837641477585,0.9929328560829163,0.9936671257019043,0.9768686294555664
26,0.05824996531009674,0.9885192513465881,0.980472207069397,0.9744524955749512,0.03238603472709656,0.9938850998878479,0.9888904690742493,0.985671877861023
27,0.057766832411289215,0.9889586567878723,0.9810529947280884,0.9746316075325012,0.029645398259162903,0.9943691492080688,0.9919252395629883,0.9846245050430298
28,0.05088828504085541,0.9899545311927795,0.9822462797164917,0.9781445264816284,0.030247630551457405,0.994201123714447,0.9892005920410156,0.9866830706596375
29,0.05203676596283913,0.9896451234817505,0.9818893671035767,0.977399468421936,0.03143972530961037,0.9939284324645996,0.9858229756355286,0.9890010952949524
30,0.05313682183623314,0.989516019821167,0.9819321632385254,0.9764505624771118,0.02804572321474552,0.9946303367614746,0.9915206432342529,0.9861273765563965
31,0.04792475327849388,0.9905034899711609,0.9843211770057678,0.9785255789756775,0.028207823634147644,0.9945166110992432,0.9861695170402527,0.9911215901374817
32,0.049061283469200134,0.9903500080108643,0.9820899367332458,0.979396641254425,0.029344778507947922,0.9942754507064819,0.9897676110267639,0.9864177703857422
