epoch,accuracy,dice_coefficient,iou_score,learning_rate,loss,val_accuracy,val_dice_coefficient,val_iou_score,val_loss
0,0.8427194356918335,0.7435457706451416,0.6082820296287537,9.999999747378752e-05,0.3609234094619751,0.9475613832473755,0.8565741181373596,0.7494017481803894,0.16403961181640625
1,0.9598949551582336,0.9155144691467285,0.8445653915405273,9.999999747378752e-05,0.1096576452255249,0.966589093208313,0.8988310098648071,0.8165076375007629,0.10443498939275742
2,0.9712404012680054,0.9407577514648438,0.8884373307228088,9.999999747378752e-05,0.07668612152338028,0.9741679430007935,0.9348699450492859,0.8778111934661865,0.07004448771476746
3,0.9763141870498657,0.952786386013031,0.9099429249763489,9.999999747378752e-05,0.061683665961027145,0.9755609631538391,0.9376071095466614,0.8826234340667725,0.07079825550317764
4,0.9787375330924988,0.9581651091575623,0.9197743535041809,9.999999747378752e-05,0.05492711067199707,0.979058027267456,0.9484263062477112,0.9019669890403748,0.05780307948589325
5,0.9814297556877136,0.9638198018074036,0.9302257299423218,9.999999747378752e-05,0.047656264156103134,0.9801182746887207,0.9485605955123901,0.9022120237350464,0.05699927732348442
6,0.9833043813705444,0.9674457907676697,0.9369911551475525,9.999999747378752e-05,0.042544957250356674,0.9836272597312927,0.9595683813095093,0.9223394989967346,0.044688545167446136
7,0.9832967519760132,0.967942476272583,0.9379462003707886,9.999999747378752e-05,0.042165607213974,0.9842344522476196,0.9648968577384949,0.9322161078453064,0.04258659482002258
8,0.9845444560050964,0.9699348211288452,0.9416720271110535,9.999999747378752e-05,0.03922724351286888,0.9851795434951782,0.964882493019104,0.9321910738945007,0.04148566722869873
9,0.9862874746322632,0.9737881422042847,0.9489552974700928,9.999999747378752e-05,0.034317128360271454,0.9858657121658325,0.9708425402641296,0.9433732032775879,0.037505317479372025
10,0.9870622754096985,0.9755228757858276,0.9522423148155212,9.999999747378752e-05,0.03202788159251213,0.9862454533576965,0.9699577689170837,0.9416979551315308,0.03739431872963905
11,0.9879733324050903,0.9770957827568054,0.9552453756332397,9.999999747378752e-05,0.02987743727862835,0.9859257340431213,0.9725587964057922,0.9466108083724976,0.03745656833052635
12,0.9884480237960815,0.9780523777008057,0.9570637345314026,9.999999747378752e-05,0.028714878484606743,0.986778736114502,0.9729481935501099,0.9473497271537781,0.03535228967666626
13,0.9891355037689209,0.9794093370437622,0.9596765637397766,9.999999747378752e-05,0.02688579633831978,0.9837402701377869,0.9693703055381775,0.9405978322029114,0.0417000874876976
14,0.9893471002578735,0.9801787734031677,0.9611467719078064,9.999999747378752e-05,0.026120604947209358,0.9877058863639832,0.9767318367958069,0.9545472860336304,0.036939799785614014
15,0.9895740747451782,0.9803917407989502,0.961553692817688,9.999999747378752e-05,0.025533221662044525,0.9872965812683105,0.9744067192077637,0.9501239657402039,0.033437930047512054
16,0.9901247024536133,0.9814388751983643,0.9635719656944275,9.999999747378752e-05,0.024270255118608475,0.9885093569755554,0.9770523905754089,0.9551548361778259,0.03267604112625122
17,0.9904662370681763,0.9823020100593567,0.9652376174926758,9.999999747378752e-05,0.02331812120974064,0.9887004494667053,0.9783617258071899,0.9576628804206848,0.032483190298080444
18,0.9911425113677979,0.9834595322608948,0.9674684405326843,9.999999747378752e-05,0.021457089111208916,0.9889164566993713,0.9798904657363892,0.9605927467346191,0.032050613313913345
19,0.9914700984954834,0.9841507077217102,0.9688043594360352,9.999999747378752e-05,0.020750438794493675,0.9891104102134705,0.9799418449401855,0.9606904983520508,0.03363516554236412
20,0.9914184808731079,0.9842786192893982,0.9690557718276978,9.999999747378752e-05,0.02073977142572403,0.9892213344573975,0.9799038171768188,0.960622251033783,0.029602259397506714
21,0.9917575716972351,0.9849101901054382,0.9702774286270142,9.999999747378752e-05,0.019822556525468826,0.9889796376228333,0.9790371060371399,0.9589548707008362,0.03095201961696148
22,0.9921529293060303,0.9856361746788025,0.9716876745223999,9.999999747378752e-05,0.018804071471095085,0.9894803762435913,0.9807165861129761,0.9621811509132385,0.030240928754210472
23,0.9926092028617859,0.9865025877952576,0.9733710289001465,9.999999747378752e-05,0.01760421134531498,0.9892499446868896,0.9816105961799622,0.9639040231704712,0.034356024116277695
24,0.9926285147666931,0.9863799810409546,0.9731348156929016,9.999999747378752e-05,0.0176222026348114,0.9899136424064636,0.9821699857711792,0.964985728263855,0.031279224902391434
25,0.9917289614677429,0.9847455024719238,0.969961404800415,9.999999747378752e-05,0.019950443878769875,0.9888193607330322,0.9808534383773804,0.9624462723731995,0.033083487302064896
26,0.992927610874176,0.9870604872703552,0.9744570255279541,4.999999873689376e-05,0.016818314790725708,0.9903380274772644,0.9837945699691772,0.968123733997345,0.030591610819101334
27,0.9935268759727478,0.9880843758583069,0.9764544367790222,4.999999873689376e-05,0.015341276302933693,0.9902375340461731,0.9835056662559509,0.9675626158714294,0.030541030690073967
28,0.9937118887901306,0.9885815978050232,0.9774247407913208,4.999999873689376e-05,0.01486658863723278,0.9904192090034485,0.9837561845779419,0.9680485129356384,0.030635787174105644
29,0.9937252998352051,0.9885706901550293,0.9774038195610046,4.999999873689376e-05,0.01482709776610136,0.9902216196060181,0.9840500950813293,0.9686173796653748,0.03209107741713524
30,0.9938856959342957,0.9889401197433472,0.9781244993209839,4.999999873689376e-05,0.014428883790969849,0.9900070428848267,0.9835925102233887,0.9677357077598572,0.033545199781656265
31,0.9940580725669861,0.9892295598983765,0.978691041469574,2.499999936844688e-05,0.013933585025370121,0.9904273152351379,0.9843993782997131,0.969294548034668,0.032435342669487
32,0.9942798018455505,0.9896138906478882,0.9794437289237976,2.499999936844688e-05,0.013467245735228062,0.9905298352241516,0.9844238758087158,0.9693428874015808,0.03304106369614601
33,0.9943301677703857,0.9897193908691406,0.9796510934829712,2.499999936844688e-05,0.013360057957470417,0.9903792142868042,0.9844507575035095,0.9693951606750488,0.03401362523436546
34,0.9943857192993164,0.9897029399871826,0.9796181917190552,2.499999936844688e-05,0.013205516152083874,0.9905587434768677,0.9846751689910889,0.9698307514190674,0.032958295196294785
35,0.9944396615028381,0.9898489117622375,0.9799041152000427,2.499999936844688e-05,0.013077691197395325,0.9906045198440552,0.9848296046257019,0.9701300859451294,0.033321306109428406
36,0.9946003556251526,0.9900645017623901,0.980327308177948,1.249999968422344e-05,0.012717221863567829,0.9904857873916626,0.9848261475563049,0.9701234102249146,0.034882552921772
37,0.9946255683898926,0.9902440905570984,0.9806786179542542,1.249999968422344e-05,0.012599942274391651,0.990433394908905,0.9849473237991333,0.9703603386878967,0.03651713579893112
38,0.9946462512016296,0.9903228878974915,0.9808334708213806,1.249999968422344e-05,0.012563740834593773,0.9903970956802368,0.9848762154579163,0.9702207446098328,0.03587314113974571
39,0.9946961402893066,0.9903766512870789,0.9809390902519226,1.249999968422344e-05,0.012454488314688206,0.9905309081077576,0.9850997924804688,0.9706546664237976,0.035775572061538696
40,0.9946926236152649,0.9903636574745178,0.9809139966964722,1.249999968422344e-05,0.012433185242116451,0.9905422329902649,0.9850079417228699,0.9704765677452087,0.036619603633880615
41,0.9947755336761475,0.9905009865760803,0.9811822175979614,6.24999984211172e-06,0.012240828946232796,0.9905904531478882,0.9852457642555237,0.9709383845329285,0.03676057979464531
42,0.9948005080223083,0.990575909614563,0.9813295602798462,6.24999984211172e-06,0.012217571958899498,0.9905571341514587,0.9851661324501038,0.970783531665802,0.036543913185596466
43,0.9947954416275024,0.990565836429596,0.981309711933136,6.24999984211172e-06,0.012172740884125233,0.990633487701416,0.9852420687675476,0.9709303379058838,0.036128297448158264
44,0.9948524832725525,0.9907035827636719,0.9815808534622192,6.24999984211172e-06,0.012055032886564732,0.9905352592468262,0.9852024912834167,0.9708542823791504,0.03717451170086861
45,0.9948937892913818,0.9907559156417847,0.981682538986206,6.24999984211172e-06,0.011969143524765968,0.9905592203140259,0.9852901101112366,0.9710239171981812,0.03647615760564804
46,0.9948800206184387,0.9907443523406982,0.981660008430481,3.12499992105586e-06,0.012000277638435364,0.9905563592910767,0.9852957129478455,0.9710346460342407,0.037048839032649994
47,0.9948987364768982,0.990750789642334,0.9816724061965942,3.12499992105586e-06,0.011958735063672066,0.9906318187713623,0.98536616563797,0.9711710810661316,0.036451857537031174
48,0.994914710521698,0.9908020496368408,0.9817737340927124,3.12499992105586e-06,0.011924604885280132,0.990642249584198,0.9853867888450623,0.9712119102478027,0.03675991669297218
49,0.9949157238006592,0.9906312227249146,0.9814380407333374,3.12499992105586e-06,0.01282305084168911,0.9905774593353271,0.9852392077445984,0.9709254503250122,0.036803413182497025
